lake,park,water_temp,pH,element,mg_per_L,element_type
Devil_Mountain_Lake,BELA,6.46,7.69,C,3.4,bound
Devil_Mountain_Lake,BELA,6.46,7.69,N,0.028,bound
Devil_Mountain_Lake,BELA,6.46,7.69,P,0,bound
Devil_Mountain_Lake,BELA,6.46,7.69,Cl,10.35,free
Devil_Mountain_Lake,BELA,6.46,7.69,S,0.62,free
Devil_Mountain_Lake,BELA,6.46,7.69,F,0.04,free
Devil_Mountain_Lake,BELA,6.46,7.69,Br,0.02,free
Devil_Mountain_Lake,BELA,6.46,7.69,Na,8.92,free
Devil_Mountain_Lake,BELA,6.46,7.69,K,1.2,free
Devil_Mountain_Lake,BELA,6.46,7.69,Ca,5.73,free
Devil_Mountain_Lake,BELA,6.46,7.69,Mg,4.04,free
Imuruk_Lake,BELA,17.38,6.44,C,4.7,bound
Imuruk_Lake,BELA,17.38,6.44,N,0.013,bound
Imuruk_Lake,BELA,17.38,6.44,P,0,bound
Imuruk_Lake,BELA,17.38,6.44,Cl,1.18,free
Imuruk_Lake,BELA,17.38,6.44,S,0.2,free
Imuruk_Lake,BELA,17.38,6.44,F,0.02,free
Imuruk_Lake,BELA,17.38,6.44,Br,0,free
Imuruk_Lake,BELA,17.38,6.44,Na,1.36,free
Imuruk_Lake,BELA,17.38,6.44,K,0.32,free
Imuruk_Lake,BELA,17.38,6.44,Ca,0.96,free
Imuruk_Lake,BELA,17.38,6.44,Mg,0.86,free
Kuzitrin_Lake,BELA,8.06,7.45,C,2,bound
Kuzitrin_Lake,BELA,8.06,7.45,N,0,bound
Kuzitrin_Lake,BELA,8.06,7.45,P,0,bound
Kuzitrin_Lake,BELA,8.06,7.45,Cl,0.67,free
Kuzitrin_Lake,BELA,8.06,7.45,S,0.29,free
Kuzitrin_Lake,BELA,8.06,7.45,F,0.01,free
Kuzitrin_Lake,BELA,8.06,7.45,Br,0,free
Kuzitrin_Lake,BELA,8.06,7.45,Na,0.94,free
Kuzitrin_Lake,BELA,8.06,7.45,K,0.19,free
Kuzitrin_Lake,BELA,8.06,7.45,Ca,1.7,free
Kuzitrin_Lake,BELA,8.06,7.45,Mg,0.26,free
Lava_Lake,BELA,20.18,7.42,C,8.3,bound
Lava_Lake,BELA,20.18,7.42,N,0.017,bound
Lava_Lake,BELA,20.18,7.42,P,0.001,bound
Lava_Lake,BELA,20.18,7.42,Cl,2.53,free
Lava_Lake,BELA,20.18,7.42,S,0.59,free
Lava_Lake,BELA,20.18,7.42,F,0.04,free
Lava_Lake,BELA,20.18,7.42,Br,0.01,free
Lava_Lake,BELA,20.18,7.42,Na,2.93,free
Lava_Lake,BELA,20.18,7.42,K,0.57,free
Lava_Lake,BELA,20.18,7.42,Ca,11.77,free
Lava_Lake,BELA,20.18,7.42,Mg,2.77,free
North_Killeak_Lake,BELA,11.34,8.04,C,4.3,bound
North_Killeak_Lake,BELA,11.34,8.04,N,0.037,bound
North_Killeak_Lake,BELA,11.34,8.04,P,0.001,bound
North_Killeak_Lake,BELA,11.34,8.04,Cl,337.23,free
North_Killeak_Lake,BELA,11.34,8.04,S,0.04,free
North_Killeak_Lake,BELA,11.34,8.04,F,0.11,free
North_Killeak_Lake,BELA,11.34,8.04,Br,1.08,free
North_Killeak_Lake,BELA,11.34,8.04,Na,161.89,free
North_Killeak_Lake,BELA,11.34,8.04,K,8.32,free
North_Killeak_Lake,BELA,11.34,8.04,Ca,29.75,free
North_Killeak_Lake,BELA,11.34,8.04,Mg,37.68,free
White_Fish_Lake,BELA,12.05,7.82,C,12.3,bound
White_Fish_Lake,BELA,12.05,7.82,N,0.034,bound
White_Fish_Lake,BELA,12.05,7.82,P,0.006,bound
White_Fish_Lake,BELA,12.05,7.82,Cl,105.3,free
White_Fish_Lake,BELA,12.05,7.82,S,0.18,free
White_Fish_Lake,BELA,12.05,7.82,F,0.05,free
White_Fish_Lake,BELA,12.05,7.82,Br,0.33,free
White_Fish_Lake,BELA,12.05,7.82,Na,54.16,free
White_Fish_Lake,BELA,12.05,7.82,K,3.48,free
White_Fish_Lake,BELA,12.05,7.82,Ca,18.62,free
White_Fish_Lake,BELA,12.05,7.82,Mg,16.16,free
Iniakuk_Lake,GAAR,9.1,7.01,C,3.3,bound
Iniakuk_Lake,GAAR,9.1,7.01,N,0.141,bound
Iniakuk_Lake,GAAR,9.1,7.01,P,0,bound
Iniakuk_Lake,GAAR,9.1,7.01,Cl,0.22,free
Iniakuk_Lake,GAAR,9.1,7.01,S,12.09,free
Iniakuk_Lake,GAAR,9.1,7.01,F,0,free
Iniakuk_Lake,GAAR,9.1,7.01,Br,0,free
Iniakuk_Lake,GAAR,9.1,7.01,Na,0.57,free
Iniakuk_Lake,GAAR,9.1,7.01,K,0.44,free
Iniakuk_Lake,GAAR,9.1,7.01,Ca,40.78,free
Iniakuk_Lake,GAAR,9.1,7.01,Mg,11.44,free
Kurupa_Lake,GAAR,9.3,7.03,C,2.1,bound
Kurupa_Lake,GAAR,9.3,7.03,N,0.043,bound
Kurupa_Lake,GAAR,9.3,7.03,P,0,bound
Kurupa_Lake,GAAR,9.3,7.03,Cl,0.13,free
Kurupa_Lake,GAAR,9.3,7.03,S,12.43,free
Kurupa_Lake,GAAR,9.3,7.03,F,0,free
Kurupa_Lake,GAAR,9.3,7.03,Br,0,free
Kurupa_Lake,GAAR,9.3,7.03,Na,4.51,free
Kurupa_Lake,GAAR,9.3,7.03,K,0.31,free
Kurupa_Lake,GAAR,9.3,7.03,Ca,14.68,free
Kurupa_Lake,GAAR,9.3,7.03,Mg,8.74,free
Lake_Matcharak,GAAR,10.2,6.95,C,5.1,bound
Lake_Matcharak,GAAR,10.2,6.95,N,0,bound
Lake_Matcharak,GAAR,10.2,6.95,P,0,bound
Lake_Matcharak,GAAR,10.2,6.95,Cl,1.25,free
Lake_Matcharak,GAAR,10.2,6.95,S,13.3,free
Lake_Matcharak,GAAR,10.2,6.95,F,0,free
Lake_Matcharak,GAAR,10.2,6.95,Br,0,free
Lake_Matcharak,GAAR,10.2,6.95,Na,5.13,free
Lake_Matcharak,GAAR,10.2,6.95,K,0.74,free
Lake_Matcharak,GAAR,10.2,6.95,Ca,36.82,free
Lake_Matcharak,GAAR,10.2,6.95,Mg,8.56,free
Lake_Selby,GAAR,15.1,7.15,C,4.2,bound
Lake_Selby,GAAR,15.1,7.15,N,0.107,bound
Lake_Selby,GAAR,15.1,7.15,P,0,bound
Lake_Selby,GAAR,15.1,7.15,Cl,0.11,free
Lake_Selby,GAAR,15.1,7.15,S,7.92,free
Lake_Selby,GAAR,15.1,7.15,F,0,free
Lake_Selby,GAAR,15.1,7.15,Br,0,free
Lake_Selby,GAAR,15.1,7.15,Na,0.46,free
Lake_Selby,GAAR,15.1,7.15,K,0.1,free
Lake_Selby,GAAR,15.1,7.15,Ca,12.91,free
Lake_Selby,GAAR,15.1,7.15,Mg,2.81,free
Nutavukti_Lake,GAAR,17.6,6.88,C,4.5,bound
Nutavukti_Lake,GAAR,17.6,6.88,N,0,bound
Nutavukti_Lake,GAAR,17.6,6.88,P,0.001,bound
Nutavukti_Lake,GAAR,17.6,6.88,Cl,0.18,free
Nutavukti_Lake,GAAR,17.6,6.88,S,2.72,free
Nutavukti_Lake,GAAR,17.6,6.88,F,0,free
Nutavukti_Lake,GAAR,17.6,6.88,Br,0,free
Nutavukti_Lake,GAAR,17.6,6.88,Na,0.84,free
Nutavukti_Lake,GAAR,17.6,6.88,K,0.21,free
Nutavukti_Lake,GAAR,17.6,6.88,Ca,11.78,free
Nutavukti_Lake,GAAR,17.6,6.88,Mg,2.08,free
Summit_Lake,GAAR,11.9,6.45,C,2.4,bound
Summit_Lake,GAAR,11.9,6.45,N,0,bound
Summit_Lake,GAAR,11.9,6.45,P,0.001,bound
Summit_Lake,GAAR,11.9,6.45,Cl,0.08,free
Summit_Lake,GAAR,11.9,6.45,S,3.21,free
Summit_Lake,GAAR,11.9,6.45,F,NA,free
Summit_Lake,GAAR,11.9,6.45,Br,NA,free
Summit_Lake,GAAR,11.9,6.45,Na,1.07,free
Summit_Lake,GAAR,11.9,6.45,K,0.17,free
Summit_Lake,GAAR,11.9,6.45,Ca,4.69,free
Summit_Lake,GAAR,11.9,6.45,Mg,1.86,free
Takahula_Lake,GAAR,9.9,6.88,C,2.7,bound
Takahula_Lake,GAAR,9.9,6.88,N,0.014,bound
Takahula_Lake,GAAR,9.9,6.88,P,0,bound
Takahula_Lake,GAAR,9.9,6.88,Cl,0.23,free
Takahula_Lake,GAAR,9.9,6.88,S,5.53,free
Takahula_Lake,GAAR,9.9,6.88,F,0,free
Takahula_Lake,GAAR,9.9,6.88,Br,0,free
Takahula_Lake,GAAR,9.9,6.88,Na,0.62,free
Takahula_Lake,GAAR,9.9,6.88,K,0.93,free
Takahula_Lake,GAAR,9.9,6.88,Ca,57.64,free
Takahula_Lake,GAAR,9.9,6.88,Mg,7.49,free
Walker_Lake,GAAR,15.3,7.22,C,1.3,bound
Walker_Lake,GAAR,15.3,7.22,N,0.19,bound
Walker_Lake,GAAR,15.3,7.22,P,0.001,bound
Walker_Lake,GAAR,15.3,7.22,Cl,0.19,free
Walker_Lake,GAAR,15.3,7.22,S,5.77,free
Walker_Lake,GAAR,15.3,7.22,F,0,free
Walker_Lake,GAAR,15.3,7.22,Br,0,free
Walker_Lake,GAAR,15.3,7.22,Na,0.57,free
Walker_Lake,GAAR,15.3,7.22,K,1.18,free
Walker_Lake,GAAR,15.3,7.22,Ca,27.68,free
Walker_Lake,GAAR,15.3,7.22,Mg,3.5,free
Wild_Lake,GAAR,5.5,6.98,C,6.5,bound
Wild_Lake,GAAR,5.5,6.98,N,0.13,bound
Wild_Lake,GAAR,5.5,6.98,P,0.001,bound
Wild_Lake,GAAR,5.5,6.98,Cl,0.31,free
Wild_Lake,GAAR,5.5,6.98,S,28.68,free
Wild_Lake,GAAR,5.5,6.98,F,0,free
Wild_Lake,GAAR,5.5,6.98,Br,0,free
Wild_Lake,GAAR,5.5,6.98,Na,1.4,free
Wild_Lake,GAAR,5.5,6.98,K,0.4,free
Wild_Lake,GAAR,5.5,6.98,Ca,48.17,free
Wild_Lake,GAAR,5.5,6.98,Mg,16.42,free
Desperation_Lake,NOAT,2.95,6.34,C,2.1,bound
Desperation_Lake,NOAT,2.95,6.34,N,0.005,bound
Desperation_Lake,NOAT,2.95,6.34,P,0,bound
Desperation_Lake,NOAT,2.95,6.34,Cl,0.2,free
Desperation_Lake,NOAT,2.95,6.34,S,2.73,free
Desperation_Lake,NOAT,2.95,6.34,F,0.01,free
Desperation_Lake,NOAT,2.95,6.34,Br,0,free
Desperation_Lake,NOAT,2.95,6.34,Na,1.11,free
Desperation_Lake,NOAT,2.95,6.34,K,0.16,free
Desperation_Lake,NOAT,2.95,6.34,Ca,5.87,free
Desperation_Lake,NOAT,2.95,6.34,Mg,3.03,free
Feniak_Lake,NOAT,4.51,7.24,C,1.8,bound
Feniak_Lake,NOAT,4.51,7.24,N,0,bound
Feniak_Lake,NOAT,4.51,7.24,P,0,bound
Feniak_Lake,NOAT,4.51,7.24,Cl,0.21,free
Feniak_Lake,NOAT,4.51,7.24,S,4.93,free
Feniak_Lake,NOAT,4.51,7.24,F,0.01,free
Feniak_Lake,NOAT,4.51,7.24,Br,0,free
Feniak_Lake,NOAT,4.51,7.24,Na,0.72,free
Feniak_Lake,NOAT,4.51,7.24,K,0.17,free
Feniak_Lake,NOAT,4.51,7.24,Ca,6.81,free
Feniak_Lake,NOAT,4.51,7.24,Mg,7.66,free
Lake_Kangilipak,NOAT,5.36,6.56,C,8.5,bound
Lake_Kangilipak,NOAT,5.36,6.56,N,0.005,bound
Lake_Kangilipak,NOAT,5.36,6.56,P,0,bound
Lake_Kangilipak,NOAT,5.36,6.56,Cl,0.55,free
Lake_Kangilipak,NOAT,5.36,6.56,S,0.55,free
Lake_Kangilipak,NOAT,5.36,6.56,F,0.02,free
Lake_Kangilipak,NOAT,5.36,6.56,Br,0,free
Lake_Kangilipak,NOAT,5.36,6.56,Na,2.2,free
Lake_Kangilipak,NOAT,5.36,6.56,K,0.35,free
Lake_Kangilipak,NOAT,5.36,6.56,Ca,6.51,free
Lake_Kangilipak,NOAT,5.36,6.56,Mg,2.63,free
Lake_Narvakrak,NOAT,18.3,7.31,C,5.8,bound
Lake_Narvakrak,NOAT,18.3,7.31,N,0,bound
Lake_Narvakrak,NOAT,18.3,7.31,P,0,bound
Lake_Narvakrak,NOAT,18.3,7.31,Cl,0.76,free
Lake_Narvakrak,NOAT,18.3,7.31,S,1.38,free
Lake_Narvakrak,NOAT,18.3,7.31,F,0.02,free
Lake_Narvakrak,NOAT,18.3,7.31,Br,0,free
Lake_Narvakrak,NOAT,18.3,7.31,Na,0.82,free
Lake_Narvakrak,NOAT,18.3,7.31,K,0.56,free
Lake_Narvakrak,NOAT,18.3,7.31,Ca,11.52,free
