aquifer_code,well_name,longitude,latitude,analyte,abundance
aquifer_a,Alewa_Heights_Spring,NA,NA,SiO2,11
aquifer_a,Alewa_Heights_Spring,NA,NA,Cl,20
aquifer_a,Alewa_Heights_Spring,NA,NA,Mg,7.6
aquifer_a,Alewa_Heights_Spring,NA,NA,Na,14
aquifer_a,Alewa_Heights_Spring,NA,NA,K,0.6
aquifer_a,Alewa_Heights_Spring,NA,NA,SO4,7
aquifer_a,Alewa_Heights_Spring,NA,NA,HCO3,51
aquifer_a,Alewa_Heights_Spring,NA,NA,dissolved_solids,118
aquifer_a,Alewa_Heights_Spring,NA,NA,Ca,6.3
aquifer_a,Beretania_High_Service,NA,NA,SiO2,30
aquifer_a,Beretania_High_Service,NA,NA,Cl,70
aquifer_a,Beretania_High_Service,NA,NA,Mg,12
aquifer_a,Beretania_High_Service,NA,NA,Na,39
aquifer_a,Beretania_High_Service,NA,NA,K,3.1
aquifer_a,Beretania_High_Service,NA,NA,SO4,9.5
aquifer_a,Beretania_High_Service,NA,NA,HCO3,68
aquifer_a,Beretania_High_Service,NA,NA,dissolved_solids,247
aquifer_a,Beretania_High_Service,NA,NA,Ca,12
aquifer_a,Beretania_Low_Service,NA,NA,SiO2,36
aquifer_a,Beretania_Low_Service,NA,NA,Cl,70
aquifer_a,Beretania_Low_Service,NA,NA,Mg,13
aquifer_a,Beretania_Low_Service,NA,NA,Na,41
aquifer_a,Beretania_Low_Service,NA,NA,K,3.6
aquifer_a,Beretania_Low_Service,NA,NA,SO4,11
aquifer_a,Beretania_Low_Service,NA,NA,HCO3,78
aquifer_a,Beretania_Low_Service,NA,NA,dissolved_solids,267
aquifer_a,Beretania_Low_Service,NA,NA,Ca,12
aquifer_a,Kuliouou_Well,-157.717,21.3,SiO2,49
aquifer_a,Kuliouou_Well,-157.717,21.3,Cl,94
aquifer_a,Kuliouou_Well,-157.717,21.3,Mg,16
aquifer_a,Kuliouou_Well,-157.717,21.3,Na,47
aquifer_a,Kuliouou_Well,-157.717,21.3,K,3.9
aquifer_a,Kuliouou_Well,-157.717,21.3,SO4,12
aquifer_a,Kuliouou_Well,-157.717,21.3,HCO3,81
aquifer_a,Kuliouou_Well,-157.717,21.3,dissolved_solids,321
aquifer_a,Kuliouou_Well,-157.717,21.3,Ca,16
aquifer_a,Manoa_Well_II,-157.8,21.317,SiO2,21
aquifer_a,Manoa_Well_II,-157.8,21.317,Cl,14
aquifer_a,Manoa_Well_II,-157.8,21.317,Mg,5.7
aquifer_a,Manoa_Well_II,-157.8,21.317,Na,10
aquifer_a,Manoa_Well_II,-157.8,21.317,K,0.6
aquifer_a,Manoa_Well_II,-157.8,21.317,SO4,2.3
aquifer_a,Manoa_Well_II,-157.8,21.317,HCO3,49
aquifer_a,Manoa_Well_II,-157.8,21.317,dissolved_solids,111
aquifer_a,Manoa_Well_II,-157.8,21.317,Ca,6.9
aquifer_a,Moanalua_Wells_Pump_1,-157.883,21.35,SiO2,34
aquifer_a,Moanalua_Wells_Pump_1,-157.883,21.35,Cl,92
aquifer_a,Moanalua_Wells_Pump_1,-157.883,21.35,Mg,16
aquifer_a,Moanalua_Wells_Pump_1,-157.883,21.35,Na,44
aquifer_a,Moanalua_Wells_Pump_1,-157.883,21.35,K,2.9
aquifer_a,Moanalua_Wells_Pump_1,-157.883,21.35,SO4,16
aquifer_a,Moanalua_Wells_Pump_1,-157.883,21.35,HCO3,76
aquifer_a,Moanalua_Wells_Pump_1,-157.883,21.35,dissolved_solids,302
aquifer_a,Moanalua_Wells_Pump_1,-157.883,21.35,Ca,18
aquifer_a,Moanalua_Wells_Pump_2,-157.883,21.35,SiO2,32
aquifer_a,Moanalua_Wells_Pump_2,-157.883,21.35,Cl,85
aquifer_a,Moanalua_Wells_Pump_2,-157.883,21.35,Mg,15
aquifer_a,Moanalua_Wells_Pump_2,-157.883,21.35,Na,33
aquifer_a,Moanalua_Wells_Pump_2,-157.883,21.35,K,2.8
aquifer_a,Moanalua_Wells_Pump_2,-157.883,21.35,SO4,15
aquifer_a,Moanalua_Wells_Pump_2,-157.883,21.35,HCO3,54
aquifer_a,Moanalua_Wells_Pump_2,-157.883,21.35,dissolved_solids,258
aquifer_a,Moanalua_Wells_Pump_2,-157.883,21.35,Ca,18
aquifer_a,Moanalua_Wells_Pump_3,-157.883,21.35,SiO2,33
aquifer_a,Moanalua_Wells_Pump_3,-157.883,21.35,Cl,136
