cultivar,treatment,chromatography,metabolite,m_z,log_abundance
Cabernet_Sauvignon,dry,GC/MS,Alanine_2TMS,116,1.427013906
Cabernet_Sauvignon,well_watered,GC/MS,Alanine_2TMS,116,1.499672184
Merlot,dry,GC/MS,Alanine_2TMS,116,-0.441966893
Merlot,well_watered,GC/MS,Alanine_2TMS,116,-0.202974531
Pinot_Noir,dry,GC/MS,Alanine_2TMS,116,1.832338927
Pinot_Noir,well_watered,GC/MS,Alanine_2TMS,116,2.175975265
Chardonnay,dry,GC/MS,Alanine_2TMS,116,2.28886096
Chardonnay,well_watered,GC/MS,Alanine_2TMS,116,2.829174492
Semillon,dry,GC/MS,Alanine_2TMS,116,1.364744071
Semillon,well_watered,GC/MS,Alanine_2TMS,116,1.476642434
Cabernet_Sauvignon,dry,GC/MS,Alanine_3TMS,188,-4.249214912
Cabernet_Sauvignon,well_watered,GC/MS,Alanine_3TMS,188,-4.339072032
Merlot,dry,GC/MS,Alanine_3TMS,188,-1.512326103
Merlot,well_watered,GC/MS,Alanine_3TMS,188,-1.604345945
Pinot_Noir,dry,GC/MS,Alanine_3TMS,188,1.011467917
Pinot_Noir,well_watered,GC/MS,Alanine_3TMS,188,0.851986833
Chardonnay,dry,GC/MS,Alanine_3TMS,188,-3.42977745
Chardonnay,well_watered,GC/MS,Alanine_3TMS,188,-3.888645642
Semillon,dry,GC/MS,Alanine_3TMS,188,-2.269773761
Semillon,well_watered,GC/MS,Alanine_3TMS,188,-2.276315353
Cabernet_Sauvignon,dry,GC/MS,Beta_alanine_2TMS,176,0.298727666
Cabernet_Sauvignon,well_watered,GC/MS,Beta_alanine_2TMS,176,0.269562819
Merlot,dry,GC/MS,Beta_alanine_2TMS,176,-0.528999919
Merlot,well_watered,GC/MS,Beta_alanine_2TMS,176,-0.435196117
Pinot_Noir,dry,GC/MS,Beta_alanine_2TMS,176,-1.459013442
Pinot_Noir,well_watered,GC/MS,Beta_alanine_2TMS,176,-1.164443373
Chardonnay,dry,GC/MS,Beta_alanine_2TMS,176,-2.062005864
Chardonnay,well_watered,GC/MS,Beta_alanine_2TMS,176,-1.93996963
Semillon,dry,GC/MS,Beta_alanine_2TMS,176,-2.38064782
Semillon,well_watered,GC/MS,Beta_alanine_2TMS,176,-2.263341608
Cabernet_Sauvignon,dry,GC/MS,Arabitol_5TMS,319,2.203385539
Cabernet_Sauvignon,well_watered,GC/MS,Arabitol_5TMS,319,2.321020056
Merlot,dry,GC/MS,Arabitol_5TMS,319,2.220736211
Merlot,well_watered,GC/MS,Arabitol_5TMS,319,2.146350058
Pinot_Noir,dry,GC/MS,Arabitol_5TMS,319,2.130925646
Pinot_Noir,well_watered,GC/MS,Arabitol_5TMS,319,1.972806552
Chardonnay,dry,GC/MS,Arabitol_5TMS,319,-4.897317454
Chardonnay,well_watered,GC/MS,Arabitol_5TMS,319,-5.042033547
Semillon,dry,GC/MS,Arabitol_5TMS,319,2.073813933
Semillon,well_watered,GC/MS,Arabitol_5TMS,319,1.801998161
Cabernet_Sauvignon,dry,GC/MS,Arginine,70,-0.496639186
Cabernet_Sauvignon,well_watered,GC/MS,Arginine,70,-0.268931641
Merlot,dry,GC/MS,Arginine,70,NA
Merlot,well_watered,GC/MS,Arginine,70,NA
Pinot_Noir,dry,GC/MS,Arginine,70,0.840196125
Pinot_Noir,well_watered,GC/MS,Arginine,70,0.455193438
Chardonnay,dry,GC/MS,Arginine,70,0.948935402
Chardonnay,well_watered,GC/MS,Arginine,70,1.903145935
Semillon,dry,GC/MS,Arginine,70,-0.178879885
Semillon,well_watered,GC/MS,Arginine,70,0.475092894
Cabernet_Sauvignon,dry,GC/MS,Aspartic_acid_2TMS,160,-0.514446423
Cabernet_Sauvignon,well_watered,GC/MS,Aspartic_acid_2TMS,160,0.137752203
Merlot,dry,GC/MS,Aspartic_acid_2TMS,160,-1.868884714
Merlot,well_watered,GC/MS,Aspartic_acid_2TMS,160,-0.953256876
Pinot_Noir,dry,GC/MS,Aspartic_acid_2TMS,160,0.828419072
Pinot_Noir,well_watered,GC/MS,Aspartic_acid_2TMS,160,1.027799357
Chardonnay,dry,GC/MS,Aspartic_acid_2TMS,160,0.556264711
Chardonnay,well_watered,GC/MS,Aspartic_acid_2TMS,160,0.739455243
Semillon,dry,GC/MS,Aspartic_acid_2TMS,160,0.17458094
Semillon,well_watered,GC/MS,Aspartic_acid_2TMS,160,0.865543505
Cabernet_Sauvignon,dry,GC/MS,Aspartic_acid_3TMS,232,-0.637299915
Cabernet_Sauvignon,well_watered,GC/MS,Aspartic_acid_3TMS,232,-0.626072079
Merlot,dry,GC/MS,Aspartic_acid_3TMS,232,-2.298775129
Merlot,well_watered,GC/MS,Aspartic_acid_3TMS,232,-1.725723262
