atomic_number,atomic_symbol,group_number,period,atomic_mass_rounded,melting_point_C,boiling_point_C,state_at_RT,density_g_per_mL,electronegativity_pauling,first_ionization_poten_eV,second_ionization_poten_eV,third_ionization_poten_eV,electron_affinity_eV,atomic_radius_ang,ionic_radius_ang,covalent_radius_ang,atomic_volume_cm3_per_mol,electrical_conductivity_mho_per_cm,specific_heat_J_per_g_K,heat_of_fusion_kJ_per_mol,heat_of_vaporization_kJ_per_mol,thermal_conductivity_W_per_m_K,polarizability_A_cubed,heat_atomization_kJ_per_mol
1,H,1,1,1.008,-259.1,-252.9,g,0.0000699,2.2,13.5984, ,,0.75,0.79,1.54,0.32,14.4,,14.304,0.05868,0.44936,0.1815,0.7,218
2,He,18,1,4.003,-272.2,-268.9,g,0.000179,,24.5874,54.416,,,0.49,,0.93,19.5,,5.193,,0.0845,0.152,0.198,0
3,Li,1,2,6.968,180.5,1342,s,0.543,0.98,5.3917,76.638,122.451,0.62,2.05,0.76,1.23,13.1,0.108,3.6,3,145.92,84.7,24.3,161
4,Be,2,2,9.012,1278,2970,s,1.85,1.57,9.3226,18.211,153.893,,1.4,0.45,0.9,5,0.313,1.82,12.2,292.4,200,5.6,324
5,B,13,2,10.81,2079,2550,s,2.34,2.04,8.298,25.154,37.93,0.28,1.17,0.23,0.82,4.6,1.00E-12,1.02,50.2,489.7,27,3,573
6,C,14,2,12.01,3367,4827,s,2.25,2.55,11.2603,24.383,47.887,1.26,0.91,0.16,0.77,4.58,0.00061,0.71,,355.8,129,1.8,717
7,N,15,2,14.01,-209.9,-195.8,g,0.00125,3.04,14.5341,29.601,47.448,,0.75,1.71,0.75,17.3,,1.04,0.3604,2.7928,0.02598,1.1,473
8,O,16,2,16,-218.4,-183,g,0.00143,3.44,13.6181,35.117,54.934,1.46,0.65,1.4,0.73,14,,0.92,0.22259,3.4099,0.02674,0.793,249
9,F,17,2,19,-219.8,-188.1,g,0.0017,3.98,17.4228,34.97,62.707,3.4,0.57,1.33,0.72,12.6,,0.82,0.2552,3.2698,0.0279,0.634,79
10,Ne,18,2,20.18,-248,-248.7,g,0.0009,,21.5645,40.962,63.45,,0.51,,0.71,17.3,,0.904,0.3317,1.7326,0.0493,0.396,0
11,Na,1,3,22.99,97.8,883,s,0.971,0.93,5.1391,47.286,71.641,0.55,2.23,1.02,1.54,23.7,0.21,1.23,2.598,96.96,141,23.6,109
