class,compound,bottle,replicate,value,average
Acetals,1-1-diethoxy-ethane,Cazadores Anejo,1,0.08987785314692531,1.139
Acetals,1-1-diethoxy-ethane,Cazadores Anejo,2,0.33843230433062577,1.139
Acetals,1-1-diethoxy-ethane,Cazadores Anejo,3,1.2782949823245797,1.139
Acetals,1-1-diethoxy-ethane,Cazadores Anejo,4,1.4033310476825447,1.139
Acetals,1-1-diethoxy-ethane,Cazadores Anejo,5,0.835874620128101,1.139
Acetals,1-1-diethoxy-ethane,El Jimador Anejo,1,1.2651194834237056,1.404
Acetals,1-1-diethoxy-ethane,El Jimador Anejo,2,1.5109175016446028,1.404
Acetals,1-1-diethoxy-ethane,El Jimador Anejo,3,1.471985060971276,1.404
Acetals,1-1-diethoxy-ethane,El Jimador Anejo,4,1.6626512602800998,1.404
Acetals,1-1-diethoxy-ethane,El Jimador Anejo,5,1.4635440812600875,1.404
Acetals,1-1-diethoxy-ethane,Cabo Wabo Blanco,1,1.7601880792104994,1.873
Acetals,1-1-diethoxy-ethane,Cabo Wabo Blanco,2,1.841394519331895,1.873
Acetals,1-1-diethoxy-ethane,Cabo Wabo Blanco,3,1.818999845757686,1.873
Acetals,1-1-diethoxy-ethane,Cabo Wabo Blanco,4,1.8337274816197529,1.873
Acetals,1-1-diethoxy-ethane,Cabo Wabo Blanco,5,1.8555403428358568,1.873
Acetals,1-1-diethoxy-ethane,Don Julio Blanco,1,1.7948302354175392,1.809
Acetals,1-1-diethoxy-ethane,Don Julio Blanco,2,1.8823885820914723,1.809
Acetals,1-1-diethoxy-ethane,Don Julio Blanco,3,1.7977857497250984,1.809
Acetals,1-1-diethoxy-ethane,Don Julio Blanco,4,1.7863643384932315,1.809
Acetals,1-1-diethoxy-ethane,Don Julio Blanco,5,1.8547241652062818,1.809
Acetals,1-1-diethoxy-ethane,Espolon Blanco,1,2.1577954360542098,2.037
Acetals,1-1-diethoxy-ethane,Espolon Blanco,2,1.7600145010812658,2.037
Acetals,1-1-diethoxy-ethane,Espolon Blanco,3,2.299067115933067,2.037
Acetals,1-1-diethoxy-ethane,Espolon Blanco,4,2.323153976380153,2.037
Acetals,1-1-diethoxy-ethane,Espolon Blanco,5,1.9014636260855087,2.037
Acetals,1-1-diethoxy-ethane,Patron Silver,1,2.0246099721421085,2.049
Acetals,1-1-diethoxy-ethane,Patron Silver,2,2.2083698637976372,2.049
Acetals,1-1-diethoxy-ethane,Patron Silver,3,2.0600924237697535,2.049
Acetals,1-1-diethoxy-ethane,Patron Silver,4,2.135876760647907,2.049
Acetals,1-1-diethoxy-ethane,Patron Silver,5,2.0034832741616233,2.049
Acetals,1-1-diethoxy-ethane,Casa Noble Crystal,1,1.8668565314326164,1.879
Acetals,1-1-diethoxy-ethane,Casa Noble Crystal,2,1.913014143832538,1.879
Acetals,1-1-diethoxy-ethane,Casa Noble Crystal,3,2.078824298688231,1.879
Acetals,1-1-diethoxy-ethane,Casa Noble Crystal,4,2.03492130724138,1.879
Acetals,1-1-diethoxy-ethane,Casa Noble Crystal,5,1.896833188228042,1.879
Acetals,1-1-diethoxy-ethane,Tres Generaciones Plata,1,2.104583545551616,1.743
Acetals,1-1-diethoxy-ethane,Tres Generaciones Plata,2,2.1135786966208756,1.743
Acetals,1-1-diethoxy-ethane,Tres Generaciones Plata,3,1.8232742400971542,1.743
Acetals,1-1-diethoxy-ethane,Tres Generaciones Plata,4,1.6037540389229341,1.743
Acetals,1-1-diethoxy-ethane,Tres Generaciones Plata,5,1.9588275572173204,1.743
Acetals,1-1-diethoxy-ethane,1800 Anejo,1,1.9052679670897774,1.056
Acetals,1-1-diethoxy-ethane,1800 Anejo,2,1.1204167014690223,1.056
Acetals,1-1-diethoxy-ethane,1800 Anejo,3,1.2090871460364228,1.056
Acetals,1-1-diethoxy-ethane,1800 Anejo,4,1.8592474873101352,1.056
Acetals,1-1-diethoxy-ethane,1800 Anejo,5,2.8923115617640516,1.056
Acetals,1-1-diethoxy-ethane,Jose Cuervo Especial,1,1.8092097642947618,1.168
Acetals,1-1-diethoxy-ethane,Jose Cuervo Especial,2,2.0919853107980724,1.168
Acetals,1-1-diethoxy-ethane,Jose Cuervo Especial,3,0.9371827734553142,1.168
Acetals,1-1-diethoxy-ethane,Jose Cuervo Especial,4,0.14454607693130206,1.168
Acetals,1-1-diethoxy-ethane,Jose Cuervo Especial,5,0.7523668275916147,1.168
Acetals,1-1-diethoxy-ethane,Herradura Reposado,1,1.6759066379001266,1.671
Acetals,1-1-diethoxy-ethane,Herradura Reposado,2,1.8018838516883464,1.671
Acetals,1-1-diethoxy-ethane,Herradura Reposado,3,1.3390551450843344,1.671
Acetals,1-1-diethoxy-ethane,Herradura Reposado,4,1.6688216338573472,1.671
Acetals,1-1-diethoxy-ethane,Herradura Reposado,5,1.796058939182398,1.671
Acetals,1-1-diethoxy-ethane,Milagro Select Barrel Reserve Reposado,1,0.48688726797697707,0.812
Acetals,1-1-diethoxy-ethane,Milagro Select Barrel Reserve Reposado,2,0.17486519933628486,0.812
Acetals,1-1-diethoxy-ethane,Milagro Select Barrel Reserve Reposado,3,1.1418383301846036,0.812
Acetals,1-1-diethoxy-ethane,Milagro Select Barrel Reserve Reposado,4,0.7066308020940953,0.812
Acetals,1-1-diethoxy-ethane,Milagro Select Barrel Reserve Reposado,5,0.6665376204037154,0.812
Acetals,1-1-diethoxy-ethane,Siete Leguas Reposado,1,0.4044644403659927,1.446
Acetals,1-1-diethoxy-ethane,Siete Leguas Reposado,2,1.7821899648834942,1.446
Acetals,1-1-diethoxy-ethane,Siete Leguas Reposado,3,3.7138840625322356,1.446
Acetals,1-1-diethoxy-ethane,Siete Leguas Reposado,4,3.258195532332265,1.446
Acetals,1-1-diethoxy-ethane,Siete Leguas Reposado,5,0.8098099899238391,1.446
Acetals,1-1-diethoxy-ethane,Clase Azul Reposado,1,1.9240882783085813,1.65
Acetals,1-1-diethoxy-ethane,Clase Azul Reposado,2,1.703750418287347,1.65
Acetals,1-1-diethoxy-ethane,Clase Azul Reposado,3,1.8446838323150154,1.65
Acetals,1-1-diethoxy-ethane,Clase Azul Reposado,4,1.639562607035282,1.65
Acetals,1-1-diethoxy-ethane,Clase Azul Reposado,5,1.5530153800978332,1.65
Acetals,1-1-diethoxy-ethane,Corralejo Reposado,1,1.2131110164653935,1.55
Acetals,1-1-diethoxy-ethane,Corralejo Reposado,2,1.4763156535610935,1.55
Acetals,1-1-diethoxy-ethane,Corralejo Reposado,3,1.20367877355001,1.55
Acetals,1-1-diethoxy-ethane,Corralejo Reposado,4,0.7391781325766009,1.55
Acetals,1-1-diethoxy-ethane,Corralejo Reposado,5,1.4929394815391301,1.55
Acetals,1-1-diethoxy-ethane,Avion Silver Reposado,1,2.6667297549447726,1.709
Acetals,1-1-diethoxy-ethane,Avion Silver Reposado,2,2.13131539068871,1.709
Acetals,1-1-diethoxy-ethane,Avion Silver Reposado,3,2.7976713884773745,1.709
Acetals,1-1-diethoxy-ethane,Avion Silver Reposado,4,1.5961222334443657,1.709
Acetals,1-1-diethoxy-ethane,Avion Silver Reposado,5,1.3883729027020821,1.709
Acids,3-methylbutanoic_acid,Cazadores Anejo,1,0.051641149573359885,0.072
Acids,3-methylbutanoic_acid,Cazadores Anejo,2,0.03168437530527689,0.072
Acids,3-methylbutanoic_acid,Cazadores Anejo,3,0.12970838646098792,0.072
Acids,3-methylbutanoic_acid,Cazadores Anejo,4,0.10610548382443427,0.072
Acids,3-methylbutanoic_acid,Cazadores Anejo,5,0.0458605571502993,0.072
