peak_start,peak_end,peak_ID,path_to_cdf_csv,area,peak_number_within_sample,rt_offset,peak_start_rt_offset,peak_end_rt_offset,PCB_number,Bioprospector,State,Plant_Common_Name,October_11th_15th,Composition,Genus,Species,Organ,Date,GC_sample_present,GC_success,Injection_volume_uL,Notes,Rerun,...16,percent_area
1913.076,1962.009,16-hentriacontan-1-one,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_1/PCB_1.CDF.csv,451815445.7,1,0,1913.076,1962.009,PCB_1,Jesse Bellemare,MA,Magnolia,x,16-hentriacontanone_(100%),Magnolia,ashei,leaf,2019-02-12 00:00:00,1,good,,,,,100
1500.035,1516.346,disaccharaide (sucrose),/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_100/PCB_100.CDF.csv,2835566.957,1,0,1500.035,1516.346,PCB_100,Alexis Salmon,MN,Cork Oak,,...,Quercus,Suber,leaf,2020-10-08 00:00:00,,GOOD,1,,,,6.916300605
1550.498,1578.023,24-tetracosan-1-ol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_100/PCB_100.CDF.csv,31764890.34,2,0,1550.498,1578.023,PCB_100,Alexis Salmon,MN,Cork Oak,,...,Quercus,Suber,leaf,2020-10-08 00:00:00,,GOOD,1,,,,77.47851968
1743.683,1759.994,29-nonacosane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_100/PCB_100.CDF.csv,2178583.674,3,0,1743.683,1759.994,PCB_100,Alexis Salmon,MN,Cork Oak,,...,Quercus,Suber,leaf,2020-10-08 00:00:00,,GOOD,1,,,,5.313836637
1997.525,2007.72,31-hentriacontane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_100/PCB_100.CDF.csv,1352539.182,4,0,1997.525,2007.72,PCB_100,Alexis Salmon,MN,Cork Oak,,...,Quercus,Suber,leaf,2020-10-08 00:00:00,,GOOD,1,,,,3.299011346
2298.263,2320.181,germanicol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_100/PCB_100.CDF.csv,2866738.441,5,0,2298.263,2320.181,PCB_100,Alexis Salmon,MN,Cork Oak,,...,Quercus,Suber,leaf,2020-10-08 00:00:00,,GOOD,1,,,,6.992331733
2376.531,2389.274,beta-amyrin acetate,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_103/PCB_103.CDF.csv,13129760.45,1,0,2376.531,2389.274,PCB_103,Alexis Salmon,MN,AS_succulent 1,,...,Unknown,Unknown,leaf,2020-10-08 00:00:00,,GOOD,1,get,,,96.1282205
2391.313,2396.41,germanicol acetate,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_103/PCB_103.CDF.csv,528830.5258,2,0,2391.313,2396.41,PCB_103,Alexis Salmon,MN,AS_succulent 1,,...,Unknown,Unknown,leaf,2020-10-08 00:00:00,,GOOD,1,get,,,3.871779504
695.178,708.431,16-palmitic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_104/PCB_104.CDF.csv,6180604.978,1,0,695.178,708.431,PCB_104,Alexis Salmon,MN,Wheel cactus,,...,Opumtiana,Robusta,leaf,2020-10-08 00:00:00,,GOOD,1,,,,8.280232429
905.184,921.496,18-stearic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_104/PCB_104.CDF.csv,3668568.639,2,0,905.184,921.496,PCB_104,Alexis Salmon,MN,Wheel cactus,,...,Opumtiana,Robusta,leaf,2020-10-08 00:00:00,,GOOD,1,,,,4.91482648
