PCB_ID,Bioprospector,State,Plant Name,Composition,Genus,Species,Organ,Date
PCB_51,Evan LaBrant,NE,Opuntia,…,Opuntia,9,cladode,10/9/19
PCB_50,Evan LaBrant,NE,Opuntia,…,Opuntia,8,cladode,10/9/19
PCB_49,Evan LaBrant,NE,Opuntia,alkanes_(100%),Opuntia,7,cladode,10/9/19
PCB_48,Evan LaBrant,NE,Opuntia,"alcohols_(40%),alkanes_(60%)",Opuntia,6,cladode,10/9/19
PCB_47,Evan LaBrant,NE,Opuntia,alcohols_(100%),Opuntia,5,cladode,10/9/19
PCB_46,Evan LaBrant,NE,Opuntia,"alcohols_(60%),alkanes_(40%)",Opuntia,4,cladode,10/9/19
PCB_45,Evan LaBrant,NE,Opuntia,"alcohols_(60%),alkanes_(40%)",Opuntia,3,cladode,10/9/19
PCB_44,Evan LaBrant,NE,Opuntia,alkanes_(100%),Opuntia,2,cladode,10/9/19
PCB_43,Evan LaBrant,NE,Opuntia,alkanes_(100%),Opuntia,1,cladode,10/9/19
PCB_42,Evan LaBrant,NE,Pencil cholla,alcohols_(100%),Cylindropuntia,ramosissima,cladode,10/9/19
PCB_41,Evan LaBrant,NE,Saguaro,alcohols_(100%),Carnegiea,gigantea,cladode,10/9/19
PCB_40,Evan LaBrant,NE,Staghorn cholla,"alcohols_(30%),alkanes_(70%)",Cylindropuntia,versicolor,cladode,10/9/19
PCB_39,Evan LaBrant,NE,Fingernail pinecone cactus,alkanes_(100%),Tephrocactus,articulatus,cladode,10/9/19
PCB_38,Evan LaBrant,NE,Pinecone cactus,alkanes_(100%),Tephrocactus,articulatus,cladode,10/9/19
PCB_37,Evan LaBrant,NE,Fishhook barrel cactus,alcohols_(100%),Ferocactus,wislizeni,cladode,10/9/19
PCB_36,Evan LaBrant,NE,Teddy Bear Cholla,"alcohols_(60%),alkanes_(40%)",Cylindropuntia,bigelovii,cladode,10/9/19
PCB_35,Craig Schenck,MI,Cauliflower,"beta-sitosterol_(60%),alcohols_(40%)",Brassica,oleracea,leaf,10/9/19
