Type,Degree,Course Name,Course Code,Course Type,UMAP1,UMAP2
Course,Applied Materials Science M.S.,Materials Analysis & Design I,AMS 5101,Core,1.1594631070072214,0.15888467865082845
Course,Applied Materials Science M.S.,Materials Analysis & Design Lab I,AMS 5102,Core,1.06078022660561,0.14931264953705892
Course,Applied Materials Science M.S.,Materials Analysis and Design II,AMS 5201,Core,1.2422768467838328,0.2078899486551009
Course,Applied Materials Science M.S.,Materials Analysis and Design Lab II,AMS 5202,Core,1.1432272786075632,0.2033123119363509
Course,Applied Materials Science M.S.,Graduate Professional Skills 2,AMS 8030,Core,-3.074445546252056,-4.459511365126637
Course,Applied Materials Science M.S.,Graduate Professional Skills I,AMS 8099,Core,-3.0072334414546926,-4.4260784046163835
Course,Applied Materials Science M.S.,Advanced Concrete Materials and Repair,CE 5027,Elective,1.8817433709079783,1.454567466546031
Course,Applied Materials Science M.S.,Material and Minerals Processing,CHE 4141,Elective,0.5672952526981394,0.2918520315179549
Course,Applied Materials Science M.S.,Extractive Metallurgy: An Introduction to Metals' Extraction,CHE 4142,Elective,0.5093938702518503,0.33835342960450276
Course,Applied Materials Science M.S.,Solar Energy and Photovoltaics,CHE 4231,Elective,1.6617266529972117,-0.549417580794362
Course,Applied Materials Science M.S.,Transport Phenomena with Computational Fluid Dynamics,CHE 5021,Elective,-0.31212216673545434,0.8238853557595931
Course,Applied Materials Science M.S.,Polymer Engineering,CHE 5131,Elective,-0.8654106265132864,0.11412659721467122
Course,Applied Materials Science M.S.,Particle Technology,CHE 5621,Elective,0.4811541432315867,-0.04126771850493327
Course,Applied Materials Science M.S.,Biomedical Engineering,CHE 5711,Elective,0.10090702714271949,-0.024425830077198896
Course,Applied Materials Science M.S.,Physical Biochemistry: Statistical Bio-Thermodynamics,CHEM 4373,Elective,-1.4690483218257864,-1.9599977390280046
Course,Applied Materials Science M.S.,Polymer Chemistry,CHEM 5510,Elective,-0.9815810328548391,0.05601135330292806
Course,Applied Materials Science M.S.,Computational Chemistry,CHEM 5650,Elective,-1.0804832583492239,-1.0008364574423112
Course,Applied Materials Science M.S.,Applications of Spectroscopy,CHEM 5714,Elective,-1.3080094462459524,-0.7119248764028825
Course,Applied Materials Science M.S.,Introduction to Solid-State Semiconductors,EE 4611,Elective,2.484018504040913,-1.2122369663229264
Course,Applied Materials Science M.S.,Microelectronics Technology,EE 5621,Elective,1.7804717415744822,-1.104013528059987
Course,Applied Materials Science M.S.,"Theory, Practice of Scanning Electron Microscopy and X-Ray Microanalysis in Lectures",EES 5321,Elective,0.7798730725223582,0.13566175537201985
Course,Applied Materials Science M.S.,Advanced Engineering Economics,IE 5325,Elective,1.0573436612064402,-0.03285821838286296
Course,Applied Materials Science M.S.,Advanced Mechanics of Materials,ME 5220,Elective,1.9234654301578562,0.277012501526805
Course,Applied Materials Science M.S.,Nondestructive Evaluation of Engineering Materials,ME 5315,Elective,1.089524924176411,0.2627075059900008
Course,Applied Materials Science M.S.,Smart Materials and Structures,ME 5345,Elective,1.649367987530903,0.23302737312409505
Course,Applied Materials Science M.S.,Optics,PHYS 5041,Elective,-0.2304800158565481,-0.7860265628805436
Course,Applied Materials Science M.S.,Introduction to Solid State Physics,PHYS 5531,Elective,2.52800434769936,-1.242807711791066
Course,Chemical Engineering M.S.Ch.E,Transport Phenomena with Computational Fluid Dynamics,CHE 5021,Core,-0.3227079516475637,0.8913036926278792
Course,Chemical Engineering M.S.Ch.E,Chemical Engineering Analysis,CHE 5031,Core,-0.0992711192195852,-0.10750445289519206
Course,Chemical Engineering M.S.Ch.E,Seminar,CHE 8150,Core,-1.8687346583431204,-3.9793110744467057
Course,Chemical Engineering M.S.Ch.E,Process Optimization: Lean Six Sigma,CHE 5011,Elective,0.01815003098793433,0.07480422096345052
Course,Chemical Engineering M.S.Ch.E,Mining Policy,CHE 5101,Elective,0.1477519864017527,2.0865218459257804
Course,Chemical Engineering M.S.Ch.E,Polymer Engineering,CHE 5131,Elective,-0.8735540515010793,0.09911242561432942
Course,Chemical Engineering M.S.Ch.E,Advanced Chemical Reactor Design,CHE 5301,Elective,-0.29906350432090356,0.10975423889252767
Course,Chemical Engineering M.S.Ch.E,Biochemical Engineering I,CHE 5601,Elective,-0.410003007036968,-0.1401656524648942
Course,Chemical Engineering M.S.Ch.E,Hazardous Waste Process Engineering,CHE 5612,Elective,-0.24314004240684106,0.14568654136750325
Course,Chemical Engineering M.S.Ch.E,Air Pollution Control - Advanced Topics,CHE 5613,Elective,-1.6688612109249075,-0.003852929305104169
Course,Chemical Engineering M.S.Ch.E,Particle Technology,CHE 5621,Elective,0.48012989701576636,-0.06377133293059245
Course,Chemical Engineering M.S.Ch.E,Biomanufacturing and Bioprocess Engineering,CHE 5705,Elective,-0.3483260279720266,-0.21818765563872233
Course,Chemical Engineering M.S.Ch.E,Biomedical Engineering,CHE 5711,Elective,-0.0028517848079641084,-0.035222615431813153
Course,Chemical Engineering M.S.Ch.E,Graduate Independent Study in Chemical Engineering,CHE 5991,Elective,0.017523943799213626,-0.2879634754171647
Course,Chemical Engineering M.S.Ch.E,Special Topics in Chemical Engineering (Various Titles to be Assigned),CHE 5995,Elective,-1.2398474818294485,0.4786218746194564
Course,Chemistry M.S.,Introductory Graduate Seminar,CHEM 8099,Core,-1.7593949442928274,-3.7486282245626725
Course,Chemistry M.S.,Seminar,CHEM 8184,Core,-1.9060371523921926,-3.99677666587737
Course,Chemistry M.S.,Water Chemistry,CE 5241,Elective,-0.478606522661968,4.032827292252513
Course,Chemistry M.S.,Organic and Stable Isotope Biogeochemistry,CHEM 5150,Elective,-0.4502394801204641,2.5689485414514266
Course,Chemistry M.S.,Advanced Environmental Chemistry,CHEM 5212,Elective,-1.8938744669979055,-0.16391428871062175
Course,Chemistry M.S.,Instrumental Analysis,CHEM 5242,Elective,-1.6049240237300832,-0.7687178508749284
Course,Chemistry M.S.,Physical Biochemistry: Statistical Bio-Thermodynamics,CHEM 5373,Elective,-1.4886167651241262,-1.9141436473837175
Course,Chemistry M.S.,Advanced Inorganic Chemistry I,CHEM 5424,Elective,-1.883468926531597,-0.4559133903494157
Course,Chemistry M.S.,Polymer Chemistry,CHEM 5510,Elective,-0.9257538920467336,0.05640641288849935
Course,Chemistry M.S.,Advanced Organic Chemistry I,CHEM 5524,Elective,-2.053691208941265,-0.545234288405446
Course,Chemistry M.S.,Advanced Physical Chemistry I,CHEM 5624,Elective,-1.7786405688350637,-0.5958739177694596
Course,Chemistry M.S.,Computational Chemistry,CHEM 5650,Elective,-1.149382889849468,-0.9621323005667008
Course,Chemistry M.S.,Fluorescence Methods in Life Science,CHEM 5659,Elective,-1.590319455248638,-1.6356819526663102
Course,Chemistry M.S.,Applications of Spectroscopy,CHEM 5714,Elective,-1.3330934649532278,-0.6938675300588883
Course,Chemistry M.S.,Data Analysis and Communication for the Natural Sciences,CHEM 5725,Elective,-0.5374878054683645,-2.160487736891774
Course,Chemistry M.S.,Special Topics in Chemistry (Various Titles to be Assigned),CHEM 5795,Elective,-1.3733056193416555,0.5113122804650985
Course,Chemistry M.S.,Advanced Analytical Chemistry II,CHEM 8224,Elective,-1.8088267451351125,-0.5914290801992692
Course,Chemistry M.S.,Advanced Inorganic Chemistry II,CHEM 8424,Elective,-1.848599255663677,-0.5400124446859635
Course,Chemistry M.S.,Advanced Organic Chemistry II,CHEM 8524,Elective,-2.018760502917095,-0.5734709159841813
Course,Chemistry M.S.,Modern Mass Spectrometry,CHEM 8720,Elective,-1.556299508196636,-1.0747631446829118
Course,Chemistry M.S.,Cellular Biochemistry,IBS 8101,Elective,-1.572455227953716,-1.8660894290914811
Course,Chemistry M.S.,"Cell, Molecular and Developmental Biology",IBS 8102,Elective,-1.683651745898052,-1.8041983501425065
Course,Chemistry M.S.,Chemical Biology,IBS 8202,Elective,-1.7061622744625051,-1.49751171035674
Course,Chemistry M.S.,Methods in Molecular Biosciences,IBS 8203,Elective,-1.4312532549922903,-1.560882653426198
Course,Chemistry M.S.,Chemical Limnology,LIM 5102,Elective,-0.767976582629009,4.231694851685496
Course,Chemistry M.S.,Principles of Medicinal Chemistry,PHAR 6722,Elective,-1.8485797053401907,-0.8852105991354264
Course,Civil Engineering M.S.,Graduate Professional Skills I,CE 8020,Core,-3.0183790331905325,-4.435869778822926
Course,Civil Engineering M.S.,Graduate Professional Skills 2,CE 8030,Core,-3.06326180754356,-4.490999306868581
Course,Civil Engineering M.S.,Advanced Project Management,CE 5026,Elective,0.9495140904361765,0.6653809888848983
Course,Civil Engineering M.S.,Advanced Concrete Materials and Repair,CE 5027,Elective,1.8724741333896677,1.427065287400218
Course,Civil Engineering M.S.,Structural Dynamics,CE 5115,Elective,1.6020285481388132,0.9032259328851424
Course,Civil Engineering M.S.,Seismic Design and Analysis,CE 5116,Elective,1.820045649426655,1.0582527263650618
Course,Civil Engineering M.S.,Bridge Analysis and Design,CE 5127,Elective,1.6740357273990671,1.1491597040185653
Course,Civil Engineering M.S.,Prestressed Concrete Structures,CE 5128,Elective,1.9365646237308543,1.1808597190866195
Course,Civil Engineering M.S.,Post-Tensioned Concrete Structures,CE 5129,Elective,1.920838295834736,1.113051091004344
Course,Civil Engineering M.S.,Advanced Steel Design,CE 5134,Elective,1.733904063122944,0.6242007358560286
Course,Civil Engineering M.S.,Advanced Reinforced Concrete Design,CE 5135,Elective,1.8684517735416453,1.2930492504129134
Course,Civil Engineering M.S.,Structural Systems,CE 5136,Elective,1.6148902768070261,0.9297215087899886
Course,Civil Engineering M.S.,Advanced Structural Analysis and Design,CE 5137,Elective,1.6990210408145945,0.913768683243724
Course,Civil Engineering M.S.,Wood and Timber Design,CE 5138,Elective,1.2524806851322214,0.8569194419870101
Course,Civil Engineering M.S.,Reinforced Masonry Design,CE 5139,Elective,1.771914898770527,1.0110127075204574
Course,Civil Engineering M.S.,Water Policy,CE 5201,Elective,0.11841601075478003,3.778091822434398
Course,Civil Engineering M.S.,Applications in Environmental Modeling,CE 5216,Elective,-0.6541455393856008,2.880493377018901
Course,Civil Engineering M.S.,Urban Hydrology and Stormwater Management,CE 5225,Elective,-0.33586627302817895,3.4767661436090194
Course,Civil Engineering M.S.,Water Resources Engineering,CE 5226,Elective,0.48856323899574683,3.9843646629342757
Course,Civil Engineering M.S.,Water Quality Engineering,CE 5237,Elective,0.48211163224525855,4.1225231035241805
Course,Civil Engineering M.S.,Water Chemistry,CE 5241,Elective,-0.5501931315486868,3.9973752840051375
Course,Civil Engineering M.S.,Environmental Remediation Technologies,CE 5246,Elective,-1.9027617579524954,-0.04654559059050456
Course,Civil Engineering M.S.,Design of Traffic Systems,CE 5315,Elective,1.3653051251346628,1.5621428831109725
Course,Civil Engineering M.S.,Pavement Analysis and Design,CE 5316,Elective,1.4366714352542918,1.4356273754129134
Course,Civil Engineering M.S.,"Pavement Maintenance, Rehabilitation, and Management",CE 5318,Elective,1.5000817173893015,1.5040121419915877
Course,Civil Engineering M.S.,"Advanced Pavement Materials, Design and Construction",CE 5320,Elective,1.515576540845112,1.3865325196275435
Course,Civil Engineering M.S.,Highway Planning and Design,CE 5326,Elective,1.2831165188724558,1.543236170578929
Course,Civil Engineering M.S.,Advanced Soil Mechanics,CE 5420,Elective,1.207787691968159,1.192150269318553
Course,Civil Engineering M.S.,Numerical Modeling in Geotechnical Engineering,CE 5422,Elective,1.1199800366336863,1.2544818861970626
Course,Civil Engineering M.S.,Rock Mechanics,CE 5426,Elective,0.8438455456668894,1.6585534556398116
Course,Civil Engineering M.S.,Sustainable Design and Construction,CE 5515,Elective,1.4686805600101511,0.8979535444268905
Course,Civil Engineering M.S.,"Decision, Risk and Reliability",CE 5525,Elective,0.5870754116947214,-2.7946601764669694
Course,Civil Engineering M.S.,Design of Structures with Advanced Materials,CE 5545,Elective,1.7502557629520457,0.46932688789460286
Course,Computer Science M.S.,Seminar,CS 8993,Core,-1.9385669833248098,-3.9411421672811784
Course,Computer Science M.S.,Advanced Theory of Computation,CS 5112,Elective,0.8426973217899363,-1.9356547252645768
Course,Computer Science M.S.,Advanced Algorithms and Data Structures,CS 5122,Elective,0.7248880261356394,-2.0857163326254167
Course,Computer Science M.S.,Computer Graphics,CS 5212,Elective,0.7123286122257273,-0.6935504333486833
Course,Computer Science M.S.,Artificial Intelligence,CS 5222,Elective,0.578794657605366,-1.6946464435568132
Course,Computer Science M.S.,Introduction to Machine Learning and Data Mining,CS 5232,Elective,0.045664011853412845,-2.4916516201010026
Course,Computer Science M.S.,Natural Language Processing,CS 5242,Elective,-0.2739065295284231,-2.267651642989186
Course,Computer Science M.S.,Operating Systems,CS 5312,Elective,1.0728642338687937,-1.6312032596578874
Course,Computer Science M.S.,Database Management Systems,CS 5322,Elective,0.6178738469059031,-1.7771488086691178
Course,Computer Science M.S.,Computer Security,CS 5332,Elective,0.9386498326236765,-1.4403022186270036
Course,Computer Science M.S.,Compiler Design,CS 5342,Elective,1.198301493542866,-1.7240568058004655
Course,Computer Science M.S.,Computer Architecture,CS 5412,Elective,1.2760965222293894,-1.6743217365255632
Course,Computer Science M.S.,Computer Networks,CS 5422,Elective,1.0519630307132761,-1.4308057682028092
Course,Computer Science M.S.,Sensors and Internet of Things,CS 5432,Elective,1.2046343678409617,-0.9684742347708024
Course,Computer Science M.S.,Advanced Natural Language Processing,CS 5642,Elective,-0.29946118651084497,-2.251124467085866
Course,Computer Science M.S.,Advanced Computer Security,CS 5732,Elective,0.8687970036441843,-1.4850698368063249
Course,Computer Science M.S.,Special Topics (Various Titles to be Assigned),CS 5995,Elective,-1.400554001910015,0.5731422050485335
Course,Earth and Environmental Sciences M.S.,Seminar,EES 5100,Core,-1.8810704356258352,-3.888158406447438
Course,Earth and Environmental Sciences M.S.,Professional Issues in Earth and Environmental Science,EES 8200,Core,-0.3598755007808645,2.315797236431571
Course,Earth and Environmental Sciences M.S.,Seminar,EES 5100,Elective,-1.9000523692195852,-3.9363342182150163
Course,Earth and Environmental Sciences M.S.,Organic and Stable Isotope Biogeochemistry,EES 5150,Elective,-0.4505017405574758,2.530140821505519
Course,Earth and Environmental Sciences M.S.,Watershed Hydrology,EES 5201,Elective,-0.19942265806846216,3.334362779427501
Course,Earth and Environmental Sciences M.S.,Glacial and Quaternary Geology,EES 5210,Elective,0.42273968400307105,2.4860363646039687
Course,Earth and Environmental Sciences M.S.,Hydrogeology,EES 5250,Elective,-0.07359343825034692,2.861789797116252
Course,Earth and Environmental Sciences M.S.,Well Hydraulics,EES 5251,Elective,0.7275406712467234,3.384208594132396
Course,Earth and Environmental Sciences M.S.,Fluvial Geomorphology,EES 5260,Elective,0.36527556123085425,2.974174116421672
Course,Earth and Environmental Sciences M.S.,Field Methods in Snow Hydrology,EES 5270,Elective,-0.20300227461509301,3.0756518586168013
Course,Earth and Environmental Sciences M.S.,Conservation Paleobiology: Putting Fossils to Work,EES 5290,Elective,0.13507097901649878,2.498244111109706
Course,Earth and Environmental Sciences M.S.,Igneous Petrogenesis,EES 5311,Elective,0.23407953919716284,2.183334695790144
Course,Earth and Environmental Sciences M.S.,"Theory, Practice of Scanning Electron Microscopy and X-Ray Microanalysis in Lectures",EES 5321,Elective,0.7110854977542918,0.15264025764557942
Course,Earth and Environmental Sciences M.S.,Economic Geology,EES 5355,Elective,0.24824541749306128,2.3506557388791762
Course,Earth and Environmental Sciences M.S.,Structural Geology,EES 5450,Elective,0.5386263722354929,2.173567370195123
Course,Earth and Environmental Sciences M.S.,Tectonics,EES 5460,Elective,0.42159241380043433,2.1796762595513783
Course,Earth and Environmental Sciences M.S.,Field Methods in Hydrology,EES 5510,Elective,-0.07674485502891137,3.058045957852336
Course,Earth and Environmental Sciences M.S.,Introduction to Stream Restoration,EES 5601,Elective,0.19298952760048316,3.454537187386485
Course,Earth and Environmental Sciences M.S.,Stream Crossing Design,EES 5603,Elective,0.6760370129520457,2.9630491478929244
Course,Earth and Environmental Sciences M.S.,Geochemistry,EES 5711,Elective,-8.981829708059053e-4,2.425709371138545
Course,Earth and Environmental Sciences M.S.,Geochronology,EES 5730,Elective,0.18239849747963355,2.350561340023013
Course,Earth and Environmental Sciences M.S.,Geobiology,EES 5740,Elective,-0.09243232069663598,2.37066396014783
Course,Earth and Environmental Sciences M.S.,Environmental Geophysics,EES 5800,Elective,-0.36993867216758325,2.6065779967794143
Course,Electrical Engineering M.S.E.E.,Graduate Professional Communication Seminar,EE 8001,Core,-2.0347178584163625,-3.794990624617604
Course,Electrical Engineering M.S.E.E.,Co-op in Electrical Engineering,EE 4896,Elective,0.9425718182498972,-0.8333097354879655
Course,Electrical Engineering M.S.E.E.,Digital Control System Design,EE 5151,Elective,1.6818787449771921,-1.4749401466360368
Course,Electrical Engineering M.S.E.E.,Linear State-Space Control Systems,EE 5161,Elective,1.555718600171284,-1.6714332954397477
Course,Electrical Engineering M.S.E.E.,Computer Architecture,EE 5305,Elective,1.3120395535404246,-1.6907053844442643
Course,Electrical Engineering M.S.E.E.,Design of VLSI Circuits,EE 5311,Elective,1.4631044262821238,-1.5176151649465837
Course,Electrical Engineering M.S.E.E.,Computer Networks,EE 5321,Elective,1.0179783696109812,-1.5538111583700456
Course,Electrical Engineering M.S.E.E.,Digital Systems,EE 5341,Elective,1.5637699955875437,-1.3426993743887223
Course,Electrical Engineering M.S.E.E.,Programmable Logic Controllers,EE 5371,Elective,1.5559498661930125,-1.3370438472738542
Course,Electrical Engineering M.S.E.E.,Antennas and Transmission Lines,EE 5477,Elective,0.5141875142032664,-1.0320175544729508
Course,Electrical Engineering M.S.E.E.,Antennas and Transmission Lines Laboratory,EE 5479,Elective,0.5117775792057078,-0.9838715450277604
Course,Electrical Engineering M.S.E.E.,Power Systems,EE 5510,Elective,1.6886946553165476,-0.8035062210073747
Course,Electrical Engineering M.S.E.E.,Power Electronics,EE 5522,Elective,1.7636215084964793,-0.8792889968862809
Course,Electrical Engineering M.S.E.E.,"Grid- Resiliency, Efficiency and Technology",EE 5533,Elective,1.4702498310977976,-0.8428500549307145
Course,Electrical Engineering M.S.E.E.,Energy Conversion System,EE 5541,Elective,1.7388021344120066,-0.7246352092733659
Course,Electrical Engineering M.S.E.E.,Introduction to Solid State Semiconductors,EE 5611,Elective,2.4357699746067087,-1.1904729263296403
Course,Electrical Engineering M.S.E.E.,Microelectronics Technology,EE 5621,Elective,1.7321733826572459,-0.9926856414785661
Course,Electrical Engineering M.S.E.E.,Medical Imaging,EE 5745,Elective,0.42211216630287574,-0.3317654983511247
Course,Electrical Engineering M.S.E.E.,Digital Signal Processing,EE 5746,Elective,1.3531672352726023,-1.2653022663107194
Course,Electrical Engineering M.S.E.E.,Modern Communication,EE 5765,Elective,0.9448444241458933,-1.189840878676442
Course,Electrical Engineering M.S.E.E.,Special Topics (Various Titles to be Assigned),EE 5995,Elective,-1.3981302386348684,0.5541568143853866
Course,Integrated Biosciences M.S.,Integrated Biological Systems I,IBS 8011,Core,-1.066722691637798,-2.2120915309896745
