"label","Alkanes","Sec_Alcohols","Others","Fatty_acids","Alcohols","Triterpenoids","Ketones","Other_compounds","Aldehydes"
"Ginkgo_biloba",20.6316887095372,79.3683112904628,0,0,0,0,0,0,0
"Picea_glauca",0,57.9522794090594,42.0477205909406,0,0,0,0,0,0
"Cupressus_gigantea",0,100,0,0,0,0,0,0,0
"Sabal_palmetto",36.3960447372388,0,0,63.6039552627612,0,0,0,0,0
"Erythronium_albidum",100,0,0,0,0,0,0,0,0
"Iris_sp",0,0,0,20.3602822696522,79.6397177303477,0,0,0,0
"Iris_germanica",23.2727173989337,0,0,11.5309812761707,65.1963013248956,0,0,0,0
"Aloe_arborescens",100,0,0,0,0,0,0,0,0
"Aloe_vera",91.7668475252126,0,0,8.23315247478738,0,0,0,0,0
"Allium_sp",64.6410306571356,0,0,19.2714351738631,9.677208478637,6.4103256903643,0,0,0
"Allium_brevistylum",9.06876324607672,0,0,0,9.25032098006305,0,81.6809157738602,0,0
"Allium_cepa",71.051315053246,0,0,28.948684946754,0,0,0,0,0
"Allium_sativum",88.1279569321086,0,0,0,0,0,11.8720430678915,0,0
"Ornithogalum_candicans",53.0266294555012,0,0,0,46.9733705444988,0,0,0,0
"Dasylirion_wheeleri",6.08254540463501,0,3.88049995259792,12.7267015222893,12.35815018715,0,64.9521029333278,0,0
"Hesperoyucca_whipplei",63.5808845867259,0,2.1740139902453,6.97682722356956,27.2682741994593,0,0,0,0
"Hosta_sp",0,0,0,97.1106923482577,2.88930765174234,0,0,0,0
"Agave_cerulata",0,0,0,0,100,0,0,0,0
"Agave_chrysantha",20.7638848571824,0,0,0,76.4272375880355,0,0,2.80887755478201,0
"Aristolochia_labiata",0,0,0,24.1063870473605,14.9024074167141,0,34.7547974312883,0,26.2364081046371
"Magnolia_macrophylla",0,0,0,0,0,0,100,0,0
"Sanguinaria_canadensis",4.14941415845535,77.7325596803878,13.9773962757508,4.14062988540616,0,0,0,0,0
"Papaver_somniferum",0,89.7948030402405,0,0,10.2051969597595,0,0,0,0
"Thalictrum_rochebrunianum",0,0,0,9.4164401703761,5.82325543074926,0,84.7603043988747,0,0
"Delphinium_elatum",67.6486288689872,0,0,9.58246089034677,0,0,22.768910240666,0,0
"Ferocactus_wislizeni",19.8152580321537,0,10.1591651744045,23.9959175645877,46.0296592288542,0,0,0,0
"Myrtillocactus_geometrizans",0,0,0,0,0,0,0,0,100
"Carnegiea_gigantea",39.6873459843156,0,9.86415289824617,10.9664184178364,39.4820826996018,0,0,0,0
"Pachycereus_pringlei",56.1889413469041,0,0,3.97159221707941,39.8394664360165,0,0,0,0
"Opuntia_sp",52.7627614466763,0,13.3721936388478,14.1434240751774,19.7216208392985,0,0,0,0
"Opuntia_robusta",0,0,0,100,0,0,0,0,0
"Cylindropuntia_bigelovii",29.3497061197191,0,13.2092823995625,0,57.4410114807184,0,0,0,0
"Cylindropuntia_versicolor",48.9066859024405,0,26.1505257102815,0,24.942788387278,0,0,0,0
"Cylindropuntia_ramosissima",0,0,12.448549018378,18.98555190782,68.565899073802,0,0,0,0
"Kirengeshoma_Palmata",23.2089375090967,0,0,76.7910624909034,0,0,0,0,0
"Vaccinium_corymbosum",0,0,0,59.5083653999012,24.418378611084,10.4687832090488,0,5.60447277996589,0
"Asclepias_tuberosa",0,0,8.83765454323923,6.84775000000424,59.006878891112,0,0,25.3077165656445,0
"Solanum_lycopersicum",0,0,57.4824557303471,26.4206495143275,0,0,0,16.0968947553254,0
"Lavandula_sp",0,0,0,0,0,100,0,0,0
"Monarda_fistulosa",0,0,0,12.5362577729705,37.5745014559256,43.3527806953476,0,0,6.5364600757563
"Salvia_apiana",0,0,0,16.3870105688343,10.7440361354625,72.8689532957031,0,0,0
"Lonicera_sempervirens",0,96.3190478781931,0,0,1.84047606090343,1.84047606090343,0,0,0
"Krigia_biflora",16.6217141299243,0,0,0,83.3782858700757,0,0,0,0
"Lactuca_virosa",0,0,0,0,10.9124334230529,89.0875665769471,0,0,0
"Rudbeckia_occidentalis",0,0,0,73.1794376183608,0,26.8205623816392,0,0,0
"Eryngium_yuccifolium",0,0,0,0,100,0,0,0,0
"Daucus_carota",2.62346660717911,0,0,0,0,0,97.3765333928209,0,0
"Heracleum_maximum",0,0,0,69.8094048508425,0,0,30.1905951491575,0,0
"Angelica_lucida",100,0,0,0,0,0,0,0,0
"Crassula_ovata",127.939444134717,0,0,48.8085560242865,16.6336996874809,0,0,0,6.61830015351582
"Crassula_deceptor",7.56586934546378,0,0,92.4341306545362,0,0,0,0,0
"Crassula_arborescens",66.1870305298632,0,0,0,33.8129694701367,0,0,0,0
"Crassula_perfoliata",9.80811437379914,0,0,22.8231149552141,30.8588978479027,9.63587545780462,0,10.478038239867,16.3959591254125
"Crassula_rupestris",84.9816799398403,0,0,7.61459453767082,7.40372552248883,0,0,0,0
"Hylotelephium_sp",0,0,0,0,0,100,0,0,0
"Echeveria_pulidonis",22.5864906885412,0,0,0,0,77.4135093114588,0,0,0
"Bryophyllum_fedtschenkoi",0,0,0,0,0,100,0,0,0
"Bryophyllum_delagoense",9.75981084793962,0,0,0,0,90.2401891520604,0,0,0
"Kalanchoe_marginata",8.74584220401463,0,0,0,0,91.2541577959854,0,0,0
"Kalanchoe_luciae",0,0,1.08806244090592,0,0,98.9119375590941,0,0,0
"Kalanchoe_thrysiflora",0,0,1.16708114771001,0,0,98.83291885229,0,0,0
"Tropaeolum_majus",0,100,0,0,0,0,0,0,0
"Boechera_laevigata",100,0,0,0,0,0,0,0,0
"Iliamna_rivularis",100,0,0,0,0,0,0,0,0
"Rhus_virens",20.6518275623356,0,43.328461074772,25.4669419376647,6.38350084741796,4.16926857780975,0,0,0
"Ricinus_communis",0,0,21.4949264988196,15.1055109879494,0,63.399562513231,0,0,0
"Euphorbia_resinifera",3.3532903451628,0,0,0,96.6467096548372,0,0,0,0
"Enterolobium_contortisiliquum",0,0,0,0,13.9048800596877,86.0951199403124,0,0,0
"Baptisia_australis",94.8782214782675,0,0,2.4748564945262,2.64692202720633,0,0,0,0
"Amorpha_fruticosa",61.2592121280497,0,0,18.0535732031979,20.6872146687524,0,0,0,0
"Quercus_velutina",0,0,96.5955690890526,3.40443091094754,0,0,0,0,0
"Quercus_muehlenbergii",0,0,15.038368530639,26.3970583568905,0,0,0,58.5645731124705,0
"Quercus_suber",8.6128479827872,0,6.91630060510574,0,77.4785196792161,6.99233173289097,0,0,0
"Ficus_religiosa",0,0,26.2904998773958,4.7509538576762,68.958546264928,0,0,0,0
"Prunus_domestica",21.2063705420855,75.5230982485873,0,3.2705312093272,0,0,0,0,0
"Rosa_glauca",81.330686647823,12.3867076375599,0,6.28260571461701,0,0,0,0,0
"Rubus_sp",23.3344379269698,0,0,76.6655620730301,0,0,0,0,0
"Rubus_occidentalis",29.8519823819383,0,0,17.5503127948585,0,52.5977048232032,0,0,0
