"origin","destination","passengers"
"ANC","BET",9290
"ANC","FAI",19360
"ANC","JNU",14650
"ANC","OME",5140
"ANC","OTZ",4020
"ANC","SIT",5810
"ATL","BOS",69040
"ATL","CLT",73400
"ATL","DEN",58310
"ATL","DFW",75820
"ATL","DTW",59000
"ATL","JFK",84220
"ATL","LAS",52020
"ATL","LAX",72940
"ATL","MIA",123360
"ATL","MSP",52240
"ATL","ORD",91660
"ATL","PDX",20310
"ATL","PHX",39340
"ATL","SEA",30470
"ATL","SFO",47190
"BET","ANC",9220
"BET","OME",1210
"BOS","ATL",65080
"BOS","CLT",28880
"BOS","DTW",24190
"BOS","JFK",39790
"BOS","LAX",34210
"BOS","ORD",54550
"CLT","ATL",67710
"CLT","BOS",31560
"CLT","DFW",28670
"CLT","DTW",24590
"CLT","JFK",31010
"CLT","MIA",32180
"DEN","ATL",65520
"DEN","DFW",51400
"DEN","LAS",54200
"DEN","LAX",47040
"DEN","MSP",33870
"DEN","ORD",57840
"DEN","PDX",30770
"DEN","PHX",40050
"DEN","SEA",38690
"DEN","SFO",47320
"DFW","ATL",73120
"DFW","CLT",26820
"DFW","DEN",50400
"DFW","HNL",20830
"DFW","LAS",34860
"DFW","LAX",50920
"DFW","MIA",41270
"DFW","ORD",58020
"DFW","PHX",44640
"DLH","DTW",1830
"DLH","MSP",5720
"DLH","ORD",3400
"DTW","ATL",62640
"DTW","BOS",24330
"DTW","CLT",23750
"DTW","DLH",2090
"DTW","MSP",31390
"DTW","ORD",28390
"FAI","ANC",21110
"FAI","JNU",1410
"FAI","OTZ",1420
"HNL","DFW",14810
"HNL","KOA",46660
"HNL","LAS",25280
"HNL","LAX",56600
"HNL","LIH",37880
"HNL","OGG",59730
"HNL","PHX",19660
"HNL","SEA",32090
"HNL","SFO",46230
"JFK","ATL",92740
"JFK","BOS",41210
"JFK","CLT",29180
"JFK","LAX",63370
"JFK","MIA",58860
"JFK","ORD",43690
"JFK","SFO",57560
"JNU","ANC",14810
"JNU","FAI",1550
"JNU","KTN",2560
"JNU","SIT",3660
"KOA","HNL",44790
"KOA","LAX",13590
"KOA","OGG",11670
"KTN","JNU",2460
"KTN","PDX",900
"KTN","SEA",4720
"KTN","SIT",970
"LAS","ATL",54840
"LAS","DEN",49920
"LAS","DFW",37000
"LAS","HNL",34060
"LAS","LAX",59970
"LAS","ORD",44830
"LAS","SEA",28790
"LAS","SFO",45930
"LAX","ATL",78240
"LAX","BOS",33610
"LAX","DEN",47840
"LAX","DFW",54310
"LAX","HNL",70120
"LAX","JFK",69320
"LAX","KOA",21070
"LAX","LAS",63270
"LAX","LIH",20290
"LAX","OGG",40960
"LAX","ORD",61910
"LAX","PHX",43260
"LAX","SEA",48880
"LAX","SFO",67700
"LIH","HNL",40330
"LIH","LAX",15310
"LIH","SFO",9660
"MIA","ATL",108490
"MIA","CLT",33420
"MIA","DFW",39790
"MIA","JFK",56560
"MIA","ORD",41020
"MSP","ATL",47790
"MSP","DEN",35760
"MSP","DLH",6280
"MSP","DTW",30260
"MSP","ORD",53680
"MSP","PHX",21650
"MSP","SEA",27280
"OGG","HNL",57970
"OGG","KOA",11780
"OGG","LAX",29690
"OGG","SFO",24350
"OME","ANC",4830
"OME","BET",1230
"OME","OTZ",2080
"ORD","ATL",94790
"ORD","BOS",48870
"ORD","DEN",58060
"ORD","DFW",59440
"ORD","DLH",3630
"ORD","DTW",30570
"ORD","JFK",47860
"ORD","LAS",45810
"ORD","LAX",64630
"ORD","MIA",42090
"ORD","MSP",56070
"ORD","PHX",40130
"ORD","SEA",34960
"ORD","SFO",53210
"OTZ","ANC",4120
"OTZ","FAI",1420
"OTZ","OME",2120
"PDX","ATL",19170
"PDX","DEN",34040
"PDX","KTN",870
"PDX","SEA",16000
"PDX","SFO",29170
"PHX","ATL",37100
"PHX","DEN",39190
"PHX","DFW",43550
"PHX","HNL",29040
"PHX","LAX",44040
"PHX","MSP",25680
"PHX","ORD",37080
"PHX","SEA",24780
"SEA","ATL",30170
"SEA","DEN",39730
"SEA","HNL",39340
"SEA","KTN",4430
"SEA","LAS",30000
"SEA","LAX",50540
"SEA","MSP",25020
"SEA","ORD",36220
"SEA","PDX",14660
"SEA","PHX",23410
"SEA","SFO",47700
"SFO","ATL",50900
"SFO","DEN",43920
"SFO","HNL",61820
"SFO","JFK",54020
"SFO","LAS",40910
"SFO","LAX",66670
"SFO","LIH",14260
"SFO","OGG",32270
"SFO","ORD",52570
"SFO","PDX",30240
"SFO","SEA",45470
"SIT","ANC",5620
"SIT","JNU",3710
"SIT","KTN",990
