ID_number,Protein_name,Protein_function
CERK1_ORYSJ,Chitin elicitor receptor kinase 1 (OsCERK1) (EC 2.7.11.1) (LysM domain receptor-like kinase 1) (LysM RLK1) (LysM-containing receptor-like kinase 1) (LysM domain receptor-like kinase 9) (OsLysM-RLK9),FUNCTION: Lysin motif (LysM) receptor kinase required as a cell surface receptor for chitin elicitor (chitooligosaccharides) signaling leading to innate immunity in response to biotic stresses. Involved in the resistance to pathogenic fungi; probably by sensing microbe-associated molecular patterns (MAMP) and pathogen-associated molecular patterns (PAMP) (PubMed:21070404; PubMed:22891159; PubMed:24964058). Involved in the detection of microbial peptidoglycans (PGNs) and mediates PGN response (PubMed:24964058). Plays dual roles in PGN and chitin signaling during innate immunity. Acts as an adapter for LYP4 and LYP6 and mediates signal transduction from the extracellular to intracellular spaces. Participates in the activation of defense genes during response to PGN and chitin (PubMed:25335639). Phosphorylates the downstream partner RLCK185 in response to chitin elicitation (PubMed:23498959). {ECO:0000269|PubMed:21070404; ECO:0000269|PubMed:22891159; ECO:0000269|PubMed:23498959; ECO:0000269|PubMed:24964058; ECO:0000269|PubMed:25335639}.
NAL1_ORYSJ,Protein NARROW LEAF 1 (Protein GREEN FOR PHOTOSYNTHESIS) (Protein QUANTITATIVE TRAIT LOCUS FOR FLAG LEAF WIDTH 4) (qFLW4) (Protein SPIKELET NUMBER),FUNCTION: Involved in the regulation of lateral leaf growth (PubMed:18562767; PubMed:22179305; PubMed:23985993). May be involved in the regulation of basipetal polar auxin transport (PAT) and vascular patterning in leaves (PubMed:18562767). Controls photosynthesis rate by regulating carboxylation efficiency and consequently photosynthesis rate (PubMed:23985993). Controls panicle and spikelet numbers; and grain yield (PubMed:23985993; PubMed:24297875; PubMed:24795339). {ECO:0000269|PubMed:18562767; ECO:0000269|PubMed:22179305; ECO:0000269|PubMed:23985993; ECO:0000269|PubMed:24297875; ECO:0000269|PubMed:24795339}.
RGA5R_ORYSJ,Disease resistance protein RGA5 (Os11gRGA5) (SasRGA5),FUNCTION: Disease resistance (R) protein that recognizes the AVR-Pia and AVR1-CO39 effector avirulence proteins from M.oryzae. Resistance proteins guard the plant against pathogens that contain an appropriate avirulence protein via an indirect interaction with this avirulence protein. That triggers a defense system including the hypersensitive response; which restricts the pathogen growth. Contribution of RGA4 is required to recognize the effector avirulence proteins AVR-Pia and AVR1-CO39 from M.oryzae (PubMed:21251109; PubMed:23548743). Acts as a repressor of the RGA4-mediated cell death activation. Upon infection; recognition and binding of the AVR effectors relieve the RGA5-mediated repression and triggers the hypersensitive response (PubMed:25024433). Immune response triggered by the RGA4-RGA5 -mediated recognition of AVR1-CO39 confers resistance to X.oryzae pathovars (PubMed:27289079). {ECO:0000269|PubMed:21251109; ECO:0000269|PubMed:23548743; ECO:0000269|PubMed:25024433; ECO:0000269|PubMed:27289079}.
NSHB1_ORYSJ,Anaerobic nitrite reductase NSHB1 (EC 1.7.2.-) (Non-symbiotic hemoglobin 1) (OsNSHB1) (nsHb1-1) (rHb1) (ORYsa GLB1a) (Phytoglobin 1.1) (OsPgb1.1) (Phytogb1.1),FUNCTION: Phytoglobin that reduces nitrite to nitric oxide under anoxic conditions (e.g. during flooding or in waterlogged soil) (PubMed:21495624). May not function as an oxygen storage or transport protein (PubMed:17540516; PubMed:9390447). Has an unusually high affinity for O(2) through a hexacoordinate heme iron because of a very low dissociation constant (PubMed:9390447). {ECO:0000269|PubMed:21495624; ECO:0000269|PubMed:9390447; ECO:0000303|PubMed:17540516}.
RBL_ORYSJ,Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39),FUNCTION: RuBisCO catalyzes two reactions: the carboxylation of D-ribulose 1;5-bisphosphate; the primary event in carbon dioxide fixation; as well as the oxidative fragmentation of the pentose substrate in the photorespiration process. Both reactions occur simultaneously and in competition at the same active site.
AMY1_ORYSJ,Alpha-amylase (EC 3.2.1.1) (1;4-alpha-D-glucan glucanohydrolase) (Alpha-amylase isozyme 1B),FUNCTION: Important for breakdown of endosperm starch during germination.
GLGB_ORYSJ,1;4-alpha-glucan-branching enzyme; chloroplastic/amyloplastic (EC 2.4.1.18) (Q-enzyme) (Starch-branching enzyme),FUNCTION: Catalyzes the formation of the alpha-1;6-glucosidic linkages in starch by scission of a 1;4-alpha-linked oligosaccharide from growing alpha-1;4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1;6 position.
GH38_ORYSJ,Indole-3-acetic acid-amido synthetase GH3.8 (EC 6.3.2.-) (Auxin-responsive GH3-like protein 8) (OsGH3-8) (OsMGH3),FUNCTION: Catalyzes the synthesis of indole-3-acetic acid (IAA)-amino acid conjugates; providing a mechanism for the plant to cope with the presence of excessive free auxin (PubMed:18192436). Produces more IAA-Asp levels than IAA-Ala levels in vitro (PubMed:18192436). May participate in the activation of disease resistance by preventing the accumulation of free IAA; which reduces the expression of a group of auxin-responsive genes encoding expansins that control cell wall loosening and expansion (PubMed:18192436). Contributes to late events in stamen and carpel differentiation; and influences floret fertility (PubMed:22016342). {ECO:0000269|PubMed:18192436; ECO:0000269|PubMed:22016342}.
TRXH1_ORYSJ,Thioredoxin H1 (OsTrxh1) (Phloem sap 13 kDa protein 1),FUNCTION: Thiol-disulfide oxidoreductase involved in the redox regulation of MAP kinases. Under reducing conditions; inhibits MPK1 and MPK5 kinase activities. Mediates its own transport from cell-to-cell through plasmodesmata. Possesses insulin disulfide bonds reducing activity. {ECO:0000269|PubMed:19665023; ECO:0000269|PubMed:7766047; ECO:0000269|PubMed:9599802}.
HKT21_ORYSJ,Cation transporter HKT2;1 (OsHKT2;1) (Cation transporter HKT1) (OsHKT1) (Ni-OsHKT1),FUNCTION: Seems to be involved in regulation of potassium-sodium homeostasis (PubMed:11489190; PubMed:11959905; PubMed:12795699). Functions as a high-affinity sodium transporter; which mediates increased sodium uptake in roots under potassium deficiency and contributes to sodium accumulation and salt toxicity (PubMed:11489190; PubMed:11959905; PubMed:12795699). Involved in nutritional sodium uptake and distribution in potassium-starved roots to allow plant growth (PubMed:17541409; PubMed:30854552). Functions as a sodium-potassium cotransporter (PubMed:19482918). {ECO:0000269|PubMed:11489190; ECO:0000269|PubMed:11959905; ECO:0000269|PubMed:12795699; ECO:0000269|PubMed:17541409; ECO:0000269|PubMed:19482918; ECO:0000269|PubMed:30854552}.
