wood_type,species,abundance,compound_class,compound_mg_g
hardwood,red_maple,0,n_alkanes,n_heptadecane
hardwood,northern_red_oak,0,n_alkanes,n_heptadecane
hardwood,paper_birch,0.052,n_alkanes,n_heptadecane
softwood,eastern_white_pine,0.005,n_alkanes,n_heptadecane
softwood,eastern_hemlock,0,n_alkanes,n_heptadecane
softwood,balsam_fir,0,n_alkanes,n_heptadecane
hardwood,red_maple,0,n_alkanes,n_octadecane
hardwood,northern_red_oak,0,n_alkanes,n_octadecane
hardwood,paper_birch,0.084,n_alkanes,n_octadecane
softwood,eastern_white_pine,0.006,n_alkanes,n_octadecane
softwood,eastern_hemlock,0,n_alkanes,n_octadecane
softwood,balsam_fir,0,n_alkanes,n_octadecane
hardwood,red_maple,0,n_alkanes,n_nonadecane
hardwood,northern_red_oak,0.024,n_alkanes,n_nonadecane
hardwood,paper_birch,0.103,n_alkanes,n_nonadecane
softwood,eastern_white_pine,0.021,n_alkanes,n_nonadecane
softwood,eastern_hemlock,0.036,n_alkanes,n_nonadecane
softwood,balsam_fir,0.016,n_alkanes,n_nonadecane
hardwood,red_maple,0.084,n_alkanes,n_eicosane
hardwood,northern_red_oak,0.083,n_alkanes,n_eicosane
hardwood,paper_birch,0.104,n_alkanes,n_eicosane
softwood,eastern_white_pine,0.026,n_alkanes,n_eicosane
softwood,eastern_hemlock,0.076,n_alkanes,n_eicosane
softwood,balsam_fir,0.059,n_alkanes,n_eicosane
hardwood,red_maple,0.134,n_alkanes,n_heneicosane
hardwood,northern_red_oak,0.139,n_alkanes,n_heneicosane
hardwood,paper_birch,0.103,n_alkanes,n_heneicosane
softwood,eastern_white_pine,0.027,n_alkanes,n_heneicosane
softwood,eastern_hemlock,0.085,n_alkanes,n_heneicosane
softwood,balsam_fir,0.11,n_alkanes,n_heneicosane
hardwood,red_maple,0,n_alkanes,n_docosane
hardwood,northern_red_oak,0.108,n_alkanes,n_docosane
hardwood,paper_birch,0,n_alkanes,n_docosane
softwood,eastern_white_pine,0.033,n_alkanes,n_docosane
softwood,eastern_hemlock,0.065,n_alkanes,n_docosane
softwood,balsam_fir,0.141,n_alkanes,n_docosane
hardwood,red_maple,0,n_alkanes,n_tricosane
hardwood,northern_red_oak,0.118,n_alkanes,n_tricosane
hardwood,paper_birch,0,n_alkanes,n_tricosane
softwood,eastern_white_pine,0.047,n_alkanes,n_tricosane
softwood,eastern_hemlock,0.087,n_alkanes,n_tricosane
softwood,balsam_fir,0.082,n_alkanes,n_tricosane
hardwood,red_maple,0,n_alkanes,n_tetracosane
hardwood,northern_red_oak,0.041,n_alkanes,n_tetracosane
hardwood,paper_birch,0.018,n_alkanes,n_tetracosane
softwood,eastern_white_pine,0.011,n_alkanes,n_tetracosane
softwood,eastern_hemlock,0.043,n_alkanes,n_tetracosane
softwood,balsam_fir,0.035,n_alkanes,n_tetracosane
hardwood,red_maple,0,n_alkanes,n_pentacosane
hardwood,northern_red_oak,0.038,n_alkanes,n_pentacosane
hardwood,paper_birch,0,n_alkanes,n_pentacosane
softwood,eastern_white_pine,0,n_alkanes,n_pentacosane
softwood,eastern_hemlock,0.037,n_alkanes,n_pentacosane
softwood,balsam_fir,0.018,n_alkanes,n_pentacosane
hardwood,red_maple,0,n_alkanes,n_hexacosane
hardwood,northern_red_oak,0.009,n_alkanes,n_hexacosane
hardwood,paper_birch,0,n_alkanes,n_hexacosane
